dataset,num_and_cat,explain_instance,rule_lux_ablation,rule_lux_pure,rule_lux_proba,rule_lux_shap,rule_EXPLAN,rule_LORE,rule_Anchor
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
   0.75992934  0.52763624  0.78367175  0.66060918 -1.14787694  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
  -2.15792427  0.24068203  0.78159267 -0.76969248 -0.60241164 -0.57253291]]","{'f_9': ['>=-0.4265725910663605'], 'f_32': ['>=-0.24892309308052063'], 'f_5': ['<-0.07783165574073792']}",{},{},"{'f_9': ['>=-0.46241700649261475'], 'f_32': ['>=-0.3347993865609169'], 'f_5': ['<0.8885706067085266']}","{'f_9': ['== 0.6606091843003894'], 'f_34': ['<1.615919291973114'], 'f_32': ['>=-1.2347136735916138']}","{'f_9': ['>=-0.40619564056396484'], 'f_32': ['>=-0.17640138417482376'], 'f_5': ['<0.05943582858890295']}","{'f_32': ['>-1.28'], 'f_9': ['>-1.51'], 'f_5': ['<=-1.08']}"
kr-vs-kp,./data/numerical_only/balanced,"[[-2.81999662  0.27519462 -5.06293722  0.33472223  0.70793662  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431 -1.14787694  0.34275723
   0.67039772  0.06866949 -2.36312928  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267  1.29922018 -0.60241164 -0.57253291]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_9': ['<-0.4265725612640381'], 'f_20': ['>=-0.8782780766487122']}","{'f_9': ['<0.562447801232338'], 'f_32': ['>=0.6551889479160309'], 'f_20': ['== 0.4728461281954939']}","{'f_9': ['<-0.5319416373968124'], 'f_20': ['>=-0.6746803969144821']}","{'f_9': ['<=-1.51'], 'f_3': ['<=0.33'], 'f_6': ['<=-1.32'], 'f_4': ['>-1.41']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035 -3.63379202  0.19751381  0.33472223  0.70793662  0.92519264
   0.75992934  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882  1.29922018 -0.60241164 -0.57253291]]","{'f_32': ['<-0.24892309308052063'], 'f_20': ['>=-0.8210033923387527'], 'f_9': ['>=-0.4265725910663605'], 'f_6': ['>=-0.2779912054538727'], 'f_1': ['<-1.6792986541986465'], 'f_33': ['>=0.26476386189460754']}",{},{},"{'f_3': ['>=-1.3537356853485107'], 'f_15': ['>=-2.325997233390808'], 'f_17': ['>=0.40801921486854553'], 'f_9': ['>=-0.4280783534049988'], 'f_6': ['>=-0.2721371352672577'], 'f_34': ['<0.6197236478328705'], 'f_29': ['>=-1.3814618661999702']}","{'f_32': ['<-1.0154135525226593'], 'f_7': ['>=-0.6838044226169586'], 'f_20': ['>=-0.8210033923387527'], 'f_17': ['>=0.4035385251045227'], 'f_9': ['>=-0.4265725910663605'], 'f_6': ['>=-0.2779912054538727'], 'f_25': ['>=0.41936343908309937'], 'f_8': ['>=-0.24618637561798096'], 'f_33': ['>=0.26476386189460754']}","{'f_3': ['>=-1.943223774433136'], 'f_7': ['>=-1.0083865821361542'], 'f_15': ['>=-3.1760841608047485'], 'f_17': ['>=-0.0006116032600402832'], 'f_9': ['>=-0.468459352850914'], 'f_6': ['>=-0.6213905513286591'], 'f_34': ['<1.595709502696991'], 'f_8': ['>=0.6093704402446747'], 'f_33': ['>=-0.42171742022037506']}","{'f_9': ['>-1.51'], 'f_34': ['<=-0.60'], 'f_17': ['>-0.67'], 'f_6': ['>-1.32'], 'f_35': ['<=-0.57'], 'f_5': ['>-1.08'], 'f_33': ['>-0.77'], 'f_23': ['>-1.27'], 'f_14': ['<=-0.15']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
  -1.31591183 -1.89524511 -1.27604446  0.66060918  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267  1.29922018 -0.60241164  1.74662448]]","{'f_9': ['>=-0.4265725910663605'], 'f_34': ['<0.5287914276123047'], 'f_32': ['>=-0.24892309308052063']}",{},{},"{'f_9': ['>=-0.42781080305576324'], 'f_32': ['>=-0.3347993865609169'], 'f_5': ['<0.9089643657207489']}","{'f_9': ['== 0.6606091843003894'], 'f_34': ['== -0.6024116423014999'], 'f_32': ['== 0.7815926667863563']}","{'f_32': ['>=-0.2789931446313858'], 'f_9': ['>=-0.4129985421895981'], 'f_34': ['<1.2131702303886414'], 'f_31': ['>=-2.9024802446365356']}","{'f_9': ['>-1.51'], 'f_32': ['>-1.28'], 'f_5': ['<=-1.08']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223 -1.41255583 -1.08085599
  -1.31591183 -1.89524511 -1.27604446 -1.51375431  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335 -2.11485289  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267 -0.76969248 -0.60241164 -0.57253291]]",{'f_20': ['<-0.8210033923387527']},{},{},{'f_20': ['<-0.8210033774375916']},{'f_20': ['== -2.1148528884360096']},{'f_20': ['<-0.7603596746921539']},"{'f_32': ['>-1.28'], 'f_5': ['<=-1.08'], 'f_4': ['<=-1.41']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
   0.75992934  0.52763624  0.78367175 -1.51375431 -1.14787694  0.34275723
   0.67039772  0.06866949  2.05615754  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335 -2.11485289  0.50039108  0.24644839 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
  -2.15792427  0.24068203 -1.27943882 -0.76969248  1.65999448 -0.57253291]]",{'f_20': ['<-0.8210033923387527']},{},{},{'f_20': ['<-0.8224251866340637']},{'f_20': ['== -2.1148528884360096']},{'f_20': ['<-0.7581798136234283']},"{'f_5': ['<=-1.08'], 'f_14': ['>-0.15'], 'f_10': ['<=-1.15'], 'f_6': ['>-1.32'], 'f_23': ['<=-1.27'], 'f_35': ['<=-0.57'], 'f_34': ['>-0.60']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
   0.75992934  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882  1.29922018 -0.60241164 -0.57253291]]","{'f_3': ['>=-1.3264148533344269'], 'f_32': ['<-0.24892309308052063'], 'f_20': ['>=-0.8210033923387527'], 'f_9': ['>=-0.4265725910663605'], 'f_6': ['>=-0.2779912054538727'], 'f_33': ['>=0.26476386189460754']}",{},{},"{'f_3': ['>=-1.320028841495514'], 'f_32': ['< 12.744758978387473 * f_9+3.863854768500153', '>=-1.2815123200416565'], 'f_17': ['>=0.4035385400056839'], 'f_6': ['>=-0.3000653386116028'], 'f_34': ['<0.5287914276123047'], 'f_33': ['>=0.26476384699344635']}","{'f_32': ['== -1.279438820877996'], 'f_7': ['== 0.5276362383309245'], 'f_17': ['== 1.4818906842274597'], 'f_6': ['== 0.7599293363522467'], 'f_34': ['== -0.6024116423014999'], 'f_33': ['== 1.299220184044003']}","{'f_7': ['>=-0.8733842074871063'], 'f_15': ['>=-3.2283676862716675'], 'f_11': ['>=0.09286435623653233'], 'f_26': ['>=-1.4426127970218658'], 'f_9': ['>=-0.41689251363277435'], 'f_6': ['>=-0.005391117185354233'], 'f_34': ['<0.523622915148735'], 'f_29': ['>=-3.442785382270813'], 'f_8': ['>=-1.4886014461517334'], 'f_33': ['>=0.6203537881374359']}","{'f_9': ['>-1.51'], 'f_34': ['<=-0.60'], 'f_17': ['>-0.67'], 'f_6': ['>-1.32 ', ' <= 0.76'], 'f_35': ['<=-0.57'], 'f_25': ['<=-0.67'], 'f_33': ['>-0.77 ', ' <= 1.30'], 'f_12': ['>-1.49'], 'f_23': ['<=0.79'], 'f_24': ['<=0.06'], 'f_15': ['<=0.23'], 'f_19': ['<=0.42'], 'f_2': ['<=0.20'], 'f_28': ['<=0.12'], 'f_27': ['<=0.02'], 'f_3': ['<=0.33'], 'f_0': ['<=0.35'], 'f_20': ['<=0.47'], 'f_8': ['<=0.78'], 'f_13': ['<=0.07'], 'f_22': ['<=0.25'], 'f_18': ['<=0.09'], 'f_11': ['<=0.34']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431 -1.14787694  0.34275723
   0.67039772  0.06866949  2.05615754  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248  1.65999448 -0.57253291]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_32': ['<-0.2475191056728363'], 'f_20': ['>=-0.2961643487215042']}","{'f_32': ['<0.7613240480422974'], 'f_6': ['<0.7283110320568085']}","{'f_9': ['<-0.23424983769655228'], 'f_20': ['>=0.25878874957561493']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_10': ['<=-1.15'], 'f_23': ['>-1.27']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381 -2.98755181 -1.41255583 -1.08085599
   0.75992934  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248 -0.60241164 -0.57253291]]","{'f_32': ['<-0.24892309308052063'], 'f_20': ['>=-0.8210033923387527'], 'f_33': ['<0.26476386189460754']}",{},{},"{'f_32': ['<-0.25024086982011795'], 'f_20': ['>=-0.8210033923387527'], 'f_33': ['< -0.5702291965771252 * f_3+0.7411554283473893']}","{'f_32': ['<-1.2347136735916138'], 'f_20': ['>=-0.49642761051654816'], 'f_17': ['<0.4035385251045227'], 'f_9': ['>=-1.4532488584518433'], 'f_1': ['== 0.27519461612074053'], 'f_33': ['<0.26476386189460754']}","{'f_32': ['<-0.2430637925863266'], 'f_20': ['>=-0.7377784252166748'], 'f_33': ['<1.156536042690277']}","{'f_32': ['<=-1.28'], 'f_12': ['<=-1.49'], 'f_9': ['>-1.51'], 'f_33': ['<=-0.77'], 'f_4': ['<=-1.41'], 'f_23': ['>-1.27']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
   0.75992934  0.52763624  0.78367175 -1.51375431  0.87117353  0.34275723
   0.67039772  0.06866949  2.05615754  0.22652989  0.17691925  1.48189068
   0.0905643  -2.37291074 -2.11485289  0.50039108  0.24644839 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829 -4.15485946 -1.27943882  1.29922018  1.65999448 -0.57253291]]",{'f_20': ['<-0.8210033923387527']},{},{},{'f_20': ['<-0.8210033774375916']},{'f_20': ['<0.4431745111942291']},{'f_20': ['<-0.8314827084541321']},"{'f_14': ['>-0.15'], 'f_17': ['>-0.67'], 'f_6': ['>-1.32'], 'f_5': ['>-1.08']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381 -2.98755181 -1.41255583 -1.08085599
   0.75992934  0.52763624  0.78367175 -1.51375431  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643   0.42142335 -2.11485289  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267 -0.76969248 -0.60241164 -0.57253291]]",{'f_20': ['<-0.8210033923387527']},{},{},{},"{'f_9': ['== -1.5137543100601094'], 'f_32': ['>=-1.263510525226593'], 'f_20': ['== -2.1148528884360096']}",{'f_20': ['<-0.5667481273412704']},"{'f_32': ['>-1.28'], 'f_17': ['>-0.67'], 'f_5': ['<=-1.08'], 'f_8': ['>-1.28'], 'f_4': ['<=-1.41']}"
