@relation lux

@attribute x1 @REAL
@attribute x2 @REAL
@attribute class {1,0}

@data
0.60,-0.29,1[0.99]
0.60,-0.17,1[0.97]
0.67,-0.49,1[1.00]
1.37,-0.44,1[1.00]
1.17,-0.64,1[1.00]
1.37,-0.45,1[1.00]
0.64,-0.47,1[1.00]
1.38,-0.45,1[1.00]
1.14,-0.65,1[1.00]
1.38,-0.47,1[1.00]
0.59,-0.41,1[1.00]
0.58,-0.38,1[1.00]
1.41,-0.43,1[1.00]
0.58,-0.40,1[1.00]
0.72,-0.61,1[1.00]
0.57,-0.38,1[1.00]
1.46,-0.30,1[1.00]
0.53,-0.26,1[1.00]
1.36,-0.56,1[1.00]
0.53,-0.22,1[0.99]
1.45,-0.39,1[1.00]
0.80,-0.69,1[1.00]
0.53,-0.34,1[1.00]
0.53,-0.38,1[1.00]
1.48,-0.19,1[0.98]
0.56,-0.47,1[1.00]
0.50,-0.30,1[1.00]
1.48,-0.43,1[1.00]
0.92,-0.26,1[0.90]
1.05,-0.13,1[0.45]
0.91,-0.09,1[0.34]
1.03,-0.06,1[0.18]
0.86,-0.07,1[0.33]
1.06,0.04,1[0.04]
0.92,0.08,1[0.03]
1.18,0.06,1[0.06]
0.88,0.12,1[0.02]
0.90,0.13,1[0.01]
0.99,0.14,1[0.01]
0.86,0.13,1[0.02]
1.10,0.16,1[0.01]
1.01,0.18,1[0.00]
1.01,0.20,1[0.00]
0.94,0.21,1[0.00]
0.80,0.19,1[0.01]
1.06,0.23,1[0.00]
0.84,0.22,1[0.01]
1.03,0.24,1[0.00]
1.17,0.22,1[0.01]
1.05,0.26,1[0.00]
1.13,0.24,1[0.00]
0.89,0.26,1[0.00]
1.15,0.26,1[0.00]
0.90,0.28,1[0.00]
0.89,0.28,1[0.00]
1.02,0.30,1[0.00]
0.68,0.20,1[0.06]
0.96,0.31,1[0.00]
0.82,0.30,1[0.00]
1.11,0.33,1[0.00]
1.16,0.32,1[0.00]
1.18,0.31,1[0.00]
0.93,0.34,1[0.00]
0.85,0.34,1[0.00]
0.88,0.35,1[0.00]
0.69,0.31,1[0.01]
0.89,0.40,1[0.00]
1.01,0.41,1[0.00]
0.91,0.41,1[0.00]
0.88,0.43,1[0.00]
0.90,0.46,1[0.00]
0.81,0.45,1[0.00]
0.67,0.41,1[0.00]
0.87,0.48,1[0.00]
0.94,0.50,1[0.00]
0.84,0.48,1[0.00]
0.88,0.50,1[0.00]
0.90,0.52,1[0.00]
0.95,0.52,1[0.00]
0.76,0.50,1[0.00]
0.86,0.54,1[0.00]
0.73,0.50,1[0.00]
1.01,0.55,1[0.00]
0.81,0.53,1[0.00]
0.78,0.54,1[0.00]
0.97,0.57,1[0.00]
0.64,0.50,1[0.00]
0.77,0.55,1[0.00]
0.75,0.55,1[0.00]
0.69,0.54,1[0.00]
0.78,0.57,1[0.00]
0.88,0.60,1[0.00]
0.85,0.60,1[0.00]
0.76,0.61,1[0.00]
0.94,0.64,1[0.00]
0.71,0.60,1[0.00]
0.58,0.57,1[0.00]
0.76,0.67,1[0.00]
0.75,0.67,1[0.00]
0.86,0.69,1[0.00]
0.60,0.62,1[0.00]
0.75,0.69,1[0.00]
0.68,0.69,1[0.00]
0.69,0.69,1[0.00]
0.83,0.73,1[0.00]
0.90,0.76,1[0.00]
0.68,0.72,1[0.00]
0.70,0.74,1[0.00]
0.70,0.75,1[0.00]
0.59,0.71,1[0.00]
0.62,0.74,1[0.00]
0.69,0.77,1[0.00]
0.57,0.72,1[0.00]
0.71,0.78,1[0.00]
0.93,0.83,1[0.00]
0.61,0.76,1[0.00]
0.64,0.77,1[0.00]
0.80,0.82,1[0.00]
0.62,0.77,1[0.00]
0.52,0.75,1[0.00]
0.55,0.77,1[0.00]
0.50,0.75,1[0.00]
0.68,0.82,1[0.00]
0.33,0.65,1[0.04]
0.68,0.82,1[0.00]
0.51,0.76,1[0.00]
0.55,0.78,1[0.00]
0.66,0.84,1[0.00]
